1, $  2 ,3, $  4 ,5, $  6 ,7, $  8 ,9, $  10 ,,,,,
,TET,PVP,ENTRADA,NETO,TEXTOS,LOCAL,VALOR TAXAS,TEXTO TAXAS,HORA,,,,Voucher,taxas
-,0,0,0,0,0,0,0,,,,,,,
Aluguel De Moto Elétrica,160000,70000,104000,56000,"Para passear sem passar calor e curtir o melhor de Cartagena em grande estilo.
 
 Apresentar-se na hora reservada na Cidade Amuralhada, Calle 2a de Badillo 36 – 54 - 58 P 1 emabixo do hostal Badillo 
 
 Inclui
 Passeio de 60min
 Capacete
 Treinamento – tempo não descontado do tour
 Hidratação
 
 Valor do saldo a pagar:
 Na hora de realizar o registro em Ecoway realizar o pagamento de COP 56.000 referente ao aluguel para uma pessoa.","Apresentar-se na Cidade Amuralhada, Calle 2a de Badillo 36 – 54 - 58 P 1 emabixo do hostal Badillo 
 Diagonal ao Restaurante La Vitrola",0,,,,,,,
Aluguel De Moto Elétrica 2 Pessoas,180000,100000,100000,80000,"Para passear sem passar calor e curtir o melhor de Cartagena em grande estilo.
 
 Apresentar-se na hora reservada naCidade Amuralhada, Calle 2a de Badillo 36 – 54 - 58 P 1 emabixo do hostal Badillo 
 
 Inclui
 Passeio de 60min
 Capacete
 Treinamento – tempo não descontado do tour
 Hidratação
 
 Valor do saldo a pagar:
 Na hora de realizar o registro em Ecoway realizar o pagamento de COP 80.000 referente ao aluguel para duas pessoas.","Apresentar-se na Cidade Amuralhada, Calle 2a de Badillo 36 – 54 - 58 P 1 emabixo do hostal Badillo 
 Diagonal ao Restaurante La Vitrola",0,,,,,,,
Aula De Salsa,120000,250000,35000,85000,"Aula de salsa para aprender a bailar o ritmo tipico colombiano e conhecer mais da cultura localApresentar-se as 17hs no Lunático Cooking Studio na Calle del Pedregal n 29, no Bairro de Getsemani. 
 
 Inclui: 
 Garrafa de agua ou Mojito
 
 Valor a pagar no passeio
 No dia da aula realizar o pagamento de COP 85.000 referente ao saldo por pessoa no dinheiro.","Apresentar-se  no Lunático Cooking Studio na Calle del Pedregal n 29, no Bairro de Getsemani.",0,,17:00,,,,,
Aula De Salsa Criança,90000,250000,47500,42500,"Aula de salsa para aprender a bailar o ritmo tipico colombiano e conhecer mais da cultura localApresentar-se as 17hs no Lunático Cooking Studio na Calle del Pedregal n 29, no Bairro de Getsemani. 
 
 Inclui: 
 Garrafa de agua ou Mojito
 
 Valor a pagar no passeio
 No dia da aula realizar o pagamento de COP 42.500 referente ao saldo por pessoa no dinheiro.","Apresentar-se  no Lunático Cooking Studio na Calle del Pedregal n 29, no Bairro de Getsemani.",0,,17:00,,,,,
Bonavida,440000,370000,70000,370000,"Um passeio de catamarã com paradas para mergulho e snorkel nas águas das baías das Ilhas do Rosário. Ideal para quem gosta de nadar e navegar sem paradas em praias.
 
 Apresentar-se 08am na Marina La Bodeguita porta 3 onde o catamarã Bona Vida estará ancorado, e a tripulação dará toda assistência no embarque as 8:30am
 Aproximadamente às 14h40 iniciaremos nosso retorno ao cais Los Pegasos.
 desembarcar às 16h00.
 
 Inclui:
 Petiscos (Empanadas, quibbe e palitos de queijo).
 Open bar de bebidas não alcoólicas (água, refrigerante, limonada natural e suco temperado).
 Almoço (Arroz com frutos do mar ou arroz com legumes).
 Máscaras e tubos para mergulho com snorkel (não guiado).
 Serviço de bar a bordo (Venda de bebidas não alcoólicas).
 Valor do saldo a pagar:
 Para garantir a reserva, é necessário pagar o saldo de COP 370.000 (COP 350.000 passeio + COP 23.000 taxas), a través do link de pagamento com cartão de crédito enviado por mensagem, referente ao saldo por pessoa e taxas portuárias no deck de Bonavida. O pagamento é não reembolsável.",Apresentar-se na Marina La Bodeguita porta 3 onde o catamarã Bona Vida estará ancorado. A tripulação dará toda assistência no embarque. Retorno para a Marina Los Pegasos às 16:00., 26500,Pagar a taxas portuárias COP 26.500 (valor por pessoa – somente em dinheiro. Valor sujeito a alterações),08:30,,,,,
Bonavida Criança,290000,125000,105000,185000,"Um passeio de catamarã com paradas para mergulho e snorkel nas águas das baías das Ilhas do Rosário. Ideal para quem gosta de nadar e navegar sem paradas em praias.
 
 Apresentar-se no deck de madeira ao lado da Marina La Bodeguita as 08am onde o catamarã Bona Vida estará ancorado e a tripulação dará toda assistência no embarque. 
 
 Inclui
 Taxas portuárias
 Suco de boas vindas
 Almoço – opção de arroz de marisco, frango ou vegetariano com salada. Acompanha suco
 Assentos e redes para tomar sol
 Snorkel e máscaras
 
 Valor do saldo a pagar:
 No dia do passeio, realizar o pagamento de COP 205.000 só em cartão (COP 185.000 passeio + COP 23.000 taxas), referente ao saldo por pessoa e taxas portuárias no deck de Bonavida",Apresentar-se na Marina La Bodeguita porta 3 onde o catamarã Bona Vida estará ancorado. A tripulação dará toda assistência no embarque. Retorno para a Marina Los Pegasos às 16:00., 26500,Pagar a taxas portuárias COP 26.500 (valor por pessoa – somente em dinheiro. Valor sujeito a alterações),08:30,,,,,
Bora Bora Bc,390000,370000,110000,280000,"Excelente opção aproveitar um dia espetacular na Praia ouvindo boa música e com uma paisagem impressionante. 
 
 Apresentar-se as 07:30 na porta 03 da Marina la Bodeguita. Pagar a taxas portuárias COP 26.500 + Seguro 5.000 = 31.500COP (valor por pessoa – somente em dinheiro. Valor sujeito a alterações)
 
 Inclui
 Ida e volta em lancha rápida
 Coquetel de boas-vindas
 Almoço - opção: peixe, frango ou vegetariano, com arroz de coco, salada e banana frita. Acompanha suco
 Camas de praia e DJ 
 Obs: no caso de ser um passageiro, dependendo da ocupação, poderão ser acomodados em espreguiçadeiras ao inves de camas de praia
 
 Nao Inclui: cama da primeira fila e a mesma deve ser contratada na hora do embarque direto com bora (custo de COP 80.000 aproximadamente)
 
 Valor do saldo a pagar:
 Para garantir a reserva, pagamento do saldo de COP 250.000 por pessoa através do link de pagamento com cartão de crédito enviado por mensagem, não reembolsável",Apresentar-se  na porta 03 da Marina la Bodeguita. ,34000,Pagar a taxas portuárias COP 29.000 + Seguro COP 5.000 (valor por pessoa – somente em dinheiro. Valor sujeito a alterações), 07:20,,,,,
Bora Bora Vip,490000,470000,120000,370000,"Excelente opção aproveitar um dia espetacular na praia com boa música e paisagem impressionante.
 
 Apresentar-se as 07:20 na porta 03 da Marina la Bodeguita. Pagar a taxas portuárias COP 26.500 + Seguro COP 5.000 = COP 31.500(valor por pessoa – somente em dinheiro. Valor sujeito a alterações)
 
 Inclui
 Ida e volta em lancha rápida
 Coquetel de boas-vindas
 Almoço - opções: paella, frango ou vegetariano. Acompanha suco
 Cama de praia e toalha
 Lounge com A/C, DJ, praia VIP e acesso ao Bora Bora Beach Club
 
 Nao Inclui: cama da primeira fila e a mesma deve ser contratada na hora do embarque direto com bora (custo de COP 80.000 aproximadamente)
 
 Valor do saldo a pagar:
 Para garantir a reserva, pagamento do saldo de COP 330.000 por pessoa através do link de pagamento com cartão de crédito enviado por mensagem, não reembolsável",Apresentar-se  na porta 03 da Marina la Bodeguita. ,34000,Pagar a taxas portuárias COP 29.000 + Seguro COP 5.000 (valor por pessoa – somente em dinheiro. Valor sujeito a alterações), 07:20,,,,,
